"('놀랍게도', 'Verb')",,
"('날카롭게', 'Adjective')",,
"('트럼펫', 'Noun')",,
"('정화', 'Noun')",,
"('화해', 'Noun')",,2
"('정제', 'Noun')",,
"('금고', 'Noun')",,
"('금', 'Noun')","('의', 'Josa')",
"('생생한', 'Adjective')",,
"('유쾌한', 'Adjective')",,2
"('우물', 'Noun')",,
"('설득', 'Noun')",,
"('매매', 'Noun')",,
"('공상', 'Noun')",,
"('준비', 'Noun')","('된', 'Verb')",
"('능숙한', 'Adjective')",,
"('농축', 'Noun')",,
"('주인', 'Noun')","('의', 'Josa')",1
"('유익한', 'Adjective')",,
"('맛있는', 'Adjective')",,
"('기적', 'Noun')","('적', 'Suffix')","('으로', 'Josa')"
"('고구마', 'Noun')",,1
"('걸작', 'Noun')",,
"('친절한', 'Adjective')",,
"('즐긴다', 'Verb')",,
"('소중히', 'Adjective')",,
"('창조', 'Noun')","('적', 'Suffix')","('인', 'Josa')"
"('시원한', 'Adjective')",,
"('받침', 'Noun')",,
"('경이', 'Noun')",,
"('완화', 'Noun')",,
"('값', 'Noun')","('비싼', 'Adjective')",
"('영웅', 'Noun')","('의', 'Josa')",
"('돌기', 'Noun')",,
"('호화로운', 'Adjective')",,
"('행복', 'Noun')",,
"('진정', 'Noun')","('으로', 'Josa')",
"('지성', 'Noun')",,
"('이상', 'Noun')","('적', 'Suffix')",
"('추론', 'Noun')",,
"('초과', 'Noun')",,
"('일', 'Modifier')","('관성', 'Noun')",
"('유명하게', 'Adjective')",,
"('우상', 'Noun')",,
"('똑바로', 'Noun')",,
"('내', 'Determiner')","('리기', 'Noun')",
"('행복하게', 'Adjective')",,
"('유머', 'Noun')",,
"('깨끗하게', 'Adjective')",,
"('정교', 'Noun')",,
"('합리', 'Noun')","('적', 'Suffix')","('으로', 'Josa')"
"('중류', 'Noun')",,
"('기쁘게', 'Adjective')",,
"('재미', 'Noun')",,
"('이성', 'Noun')","('의', 'Josa')",
"('성자', 'Noun')",,
"('굳은', 'Adjective')",,
"('장려', 'Noun')",,
"('유연', 'Noun')",,
"('충분하다', 'Adjective')",,
"('걸', 'Noun')","('출한', 'Verb')",
"('자비', 'Noun')",,
"('축제', 'Noun')","('의', 'Josa')",
"('붐', 'Noun')",,
"('각성', 'Noun')",,
"('청소', 'Noun')",,
"('제왕', 'Noun')","('의', 'Josa')",
"('용사', 'Verb')",,
"('열렬히', 'Adjective')",,
"('편안하게', 'Adjective')",,
"('권장', 'Noun')",,
"('경제학', 'Noun')","('의', 'Josa')",
"('경쟁', 'Noun')","('의', 'Josa')",
"('재능', 'Noun')",,
"('애정', 'Noun')",,
"('기사도', 'Noun')",,
"('공로', 'Noun')",,
"('옹호', 'Noun')",,
"('부디', 'Noun')",,
"('낭만', 'Noun')","('적', 'Suffix')",
"('생존자', 'Noun')",,
"('평화롭게', 'Adjective')",,
"('섹시한', 'Adjective')",,
"('보완', 'Noun')",,
"('돌출', 'Noun')","('된', 'Verb')",
"('허용', 'Noun')","('되는', 'Verb')",
"('특권', 'Noun')",,
"('신선', 'Noun')",,
"('숭고한', 'Adjective')",,
"('가치', 'Noun')","('있는', 'Adjective')",
"('환영', 'Noun')","('합니다', 'Verb')",
"('조언', 'Noun')",,
"('두려움', 'Noun')",,
"('혁명가', 'Noun')",,
"('예민한', 'Adjective')",,
"('밝다', 'Verb')",,
"('깔끔하게', 'Adjective')",,
"('기악', 'Noun')",,
"('기쁜', 'Adjective')",,
"('주목할만한', 'Adjective')",,
"('웬만한', 'Adjective')",,
"('상냥한', 'Adjective')",,
"('미인', 'Noun')",,
"('달', 'Noun')","('게', 'Josa')",
"('뜨겁게', 'Adjective')",,
"('충성', 'Noun')",,
"('증명', 'Noun')","('된', 'Verb')",
"('꼭대기', 'Noun')",,
"('콤팩트', 'Noun')",,
"('주도', 'Noun')","('적', 'Suffix')",
"('영리', 'Noun')",,
"('생산', 'Noun')","('성', 'Suffix')",
"('맞다', 'Verb')",,
"('지지자', 'Noun')",,
"('만기', 'Noun')",,
"('틀림없다', 'Adjective')",,
"('열정', 'Noun')",,
"('기울기', 'Noun')",,
"('유망', 'Noun')","('한', 'Josa')",
"('강력하다', 'Adjective')",,
"('유예', 'Noun')",,
"('옳다', 'Adjective')",,
"('윤리', 'Noun')","('적', 'Suffix')","('인', 'Josa')"
"('만족', 'Noun')",,
"('섹시', 'Noun')",,
"('보조금', 'Noun')",,
"('무대', 'Noun')","('의', 'Josa')",
"('매끄러운', 'Adjective')",,
"('확실하다', 'Adjective')",,
"('찬양', 'Noun')",,
"('정직한', 'Adjective')",,
"('장엄한', 'Adjective')",,
"('일', 'Noun')","('하다', 'Verb')",
"('도달', 'Noun')",,
